2014-01-22 11:55:49,072 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2014-01-22 11:55:49,077 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2014-01-22 11:55:49,078 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse does not contain lifecycle mapping metadata
2014-01-22 11:55:52,246 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: de.arconsis.sample:akka.sample:1.0-SNAPSHOT @ /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/pom.xml.
2014-01-22 11:55:52,720 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /akka.sample/src/main/java
2014-01-22 11:55:52,721 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /akka.sample/src/test/java
2014-01-22 11:55:52,806 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 1 sec
2014-01-22 11:55:52,878 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2014-01-22 11:55:52,879 [Worker-19] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2014-01-22 11:55:53,069 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: de.arconsis.sample:akka.sample:1.0-SNAPSHOT @ /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/pom.xml.
2014-01-22 11:55:53,182 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
2014-01-22 11:55:53,183 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/alexfrank/workspace/Playground/akka.sample/akka.sample/src/main/resources
2014-01-22 11:55:53,186 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (US-ASCII actually) to copy filtered resources, i.e. build is platform dependent!
